Name,Cooperator,Support,Confidence,Weight
"Dinh Q. Phung","Svetha Venkatesh",27,1.0,1.0594007128085536
"Shoji Hirano","Shusaku Tsumoto",23,1.0,1.0506006072072864
"Jiafeng Guo","Xueqi Cheng",20,1.0,1.044000528006336
"Michael Steinbach","Vipin Kumar",19,1.0,1.0418005016060192
"Ankit Agrawal","Alok N. Choudhary",18,1.0,1.0396004752057024
"Fuzhen Zhuang","Qing He",15,1.0,1.033000396004752
"Weiwei Cheng","Eyke Hüllermeier",14,1.0,1.0308003696044352
"Alan J. Demers","Johannes Gehrke",13,1.0,1.0286003432041184
"Mario Sznaier","Octavia I. Camps",12,1.0,1.0264003168038016
"Shaoping Ma","Yiqun Liu",11,1.0,1.0242002904034848
"Salvatore Orlando","Raffaele Perego",10,1.0,1.022000264003168
"Eric C. Jensen","Steven M. Beitzel",9,1.0,1.0198002376028512
"Jun Yan","Zheng Chen",34,0.9444444444444444,1.0192453420552157
"Dimitrios Tsoumakos","Nectarios Koziris",8,1.0,1.0176002112025344
"Xiangnan Kong","Philip S. Yu",25,0.9615384615384616,1.0165391215463817
"Milos Radovanovic","Mirjana Ivanovic",7,1.0,1.0154001848022176
"Antonio Bahamonde","Jorge Díez",6,1.0,1.0132001584019008
"Behrooz Kamgar-Parsi","Behzad Kamgar-Parsi",5,1.0,1.011000132001584
"Fillia Makedon","James Ford",4,1.0,1.0088001056012672
"Ahmad Ghazal","Alain Crolotte",3,1.0,1.0066000792009504
"Jiliang Tang","Huan Liu",22,0.9565217391304348,1.0049223199374044
"Jiajun Bu","Chun Chen",21,0.9545454545454546,1.0007460089521074
"Issei Sato","Hiroshi Nakagawa",19,0.95,0.9918005016060192
"Vanessa Braganholo","Marianne Winslett",18,0.9473684210526315,0.986968896258334
"Chi Wang 0001","Jiawei Han",26,0.9285714285714286,0.9857721149796655
"Xiao Yu","Jiawei Han",16,0.9411764705882353,0.9763768929933041
"Melanie Hilario","Alexandros Kalousis",15,0.9375,0.970500396004752
"Ke Chen 0005","Lidan Shou",14,0.9333333333333333,0.9641337029377686
"Haibo Hu","Jianliang Xu",13,0.9285714285714286,0.957171771775547
"Takenao Ohkawa","Tomonobu Ozaki",12,0.9230769230769231,0.9494772398807247
"Mong-Li Lee","Wynne Hsu",25,0.8928571428571429,0.947857802865063
"Min Zhang 0006","Yiqun Liu",11,0.9166666666666666,0.9408669570701514
